"","Taxon","Group","Difference","P_value"
"137","k__Bacteria;p__Firmicutes;c__Bacilli;Other;Other;Other","Control_days_0_to_7","NaN","NaN"
"138","k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;Other;Other","Control_days_0_to_7","84.3076923076923","0.418420229801776"
"139","k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__;g__","Control_days_0_to_7","NaN","NaN"
"140","k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;Other","Control_days_0_to_7","NaN","NaN"
"141","k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__","Control_days_0_to_7","NaN","NaN"
"142","k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Anaerobacillus","Control_days_0_to_7","NaN","NaN"
"143","k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Anoxybacillus","Control_days_0_to_7","NaN","NaN"
"144","k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus","Control_days_0_to_7","NaN","NaN"
"145","k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Geobacillus","Control_days_0_to_7","NaN","NaN"
"146","k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Virgibacillus","Control_days_0_to_7","NaN","NaN"
"147","k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae;g__Brochothrix","Control_days_0_to_7","NaN","NaN"
"148","k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__","Control_days_0_to_7","NaN","NaN"
"149","k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Brevibacillus","Control_days_0_to_7","NaN","NaN"
"150","k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus","Control_days_0_to_7","NaN","0.422649730810374"
"151","k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;Other","Control_days_0_to_7","NaN","NaN"
"152","k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__","Control_days_0_to_7","NaN","NaN"
"153","k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Planomicrobium","Control_days_0_to_7","NaN","NaN"
"154","k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Sporosarcina","Control_days_0_to_7","NaN","0.422649730810374"
"155","k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Ureibacillus","Control_days_0_to_7","NaN","NaN"
"156","k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;Other","Control_days_0_to_7","NaN","NaN"
"157","k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Jeotgalicoccus","Control_days_0_to_7","NaN","NaN"
"158","k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Macrococcus","Control_days_0_to_7","NaN","NaN"
"159","k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Salinicoccus","Control_days_0_to_7","NaN","NaN"
"160","k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus","Control_days_0_to_7","NaN","NaN"
"161","k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Thermoactinomycetaceae;g__","Control_days_0_to_7","NaN","NaN"
"162","k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__[Exiguobacteraceae];g__Exiguobacterium","Control_days_0_to_7","NaN","NaN"
"163","k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__[Thermicanaceae];g__Thermicanus","Control_days_0_to_7","NaN","NaN"
